,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
sample_242,3.884259259,1.210648148,3.884259259,1.210648148,0.471998368,93.129,86.073,93.05784922,36,0.029653004,-0.264459387,0.264459387,0.029653004,1.571428571,2.428571429,2.714285714,0.166666667,7,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1.39002,28.974
sample_243,2.180555556,1.232638889,2.180555556,1.232638889,0.416546486,80.13,72.066,80.06260026,32,-0.031275172,-0.084240196,0.084240196,0.031275172,0.833333333,1.333333333,1.5,0.333333333,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.8926,27.514
sample_244,2.162037037,1.166666667,2.162037037,1.166666667,0.416546486,80.13,72.066,80.06260026,32,-0.013534173,-0.080473077,0.080473077,0.013534173,1.666666667,2.5,2.666666667,0.333333333,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.8926,27.514
sample_245,3.655092593,1.064814815,3.655092593,1.064814815,0.42498877,82.146,72.066,82.07825032,34,-0.040121057,-0.095870095,0.095870095,0.040121057,1,1.166666667,1.166666667,0.333333333,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.1386,29.628
sample_246,3.550416667,1.059027778,3.550416667,1.059027778,0.361191602,82.146,72.066,82.07825032,34,-0.031876741,-0.103071831,0.103071831,0.031876741,1,1.333333333,1.5,0.333333333,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2.1386,29.628
sample_247,8.042882653,0.73,8.042882653,0.73,0.494506228,97.161,86.073,97.08914935,40,0.062124508,-0.198347392,0.198347392,0.062124508,1.428571429,2.142857143,2.571428571,0.833333333,7,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,2.09028,29.755
sample_248,3.631944444,0.305555556,3.631944444,0.305555556,0.394652759,84.162,72.066,84.09390038,36,-0.020584523,-0.10255392,0.10255392,0.020584523,1.333333333,1.5,1.5,0.666666667,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2185,29.652
sample_249,2.208333333,1.168981481,2.208333333,1.168981481,0.427711459,84.162,72.066,84.09390038,36,-0.037684641,-0.086163057,0.086163057,0.037684641,1.5,2,2,0.666666667,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.3626,29.722
sample_250,3.631435185,0.699074074,3.631435185,0.699074074,0.449886252,84.162,72.066,84.09390038,36,-0.026726309,-0.102813988,0.102813988,0.026726309,1.833333333,2.333333333,2.333333333,0.666666667,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.2185,29.652
sample_251,10.14351852,0.212962963,10.14351852,0.212962963,0.468771093,86.134,76.054,86.07316494,36,0.131853462,-0.299739639,0.299739639,0.131853462,1.5,1.666666667,1.666666667,0.8,6,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1.2314,25.519
sample_252,9.679679705,0.743888889,9.679679705,0.743888889,0.388394177,100.161,88.065,100.088815,42,0.119490197,-0.303402908,0.303402908,0.119490197,1.428571429,2.142857143,2.571428571,0.833333333,7,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,1.7656,30.206
sample_253,10.41180556,0.377314815,10.41180556,0.377314815,0.527852924,100.161,88.065,100.088815,42,0.132126006,-0.299729471,0.299729471,0.132126006,1.428571429,2,2.142857143,0.833333333,7,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1.7656,30.206
sample_254,10.19083333,-0.195046296,10.19083333,0.076388889,0.508859154,116.16,104.064,116.0837296,48,0.302389049,-0.46287245,0.46287245,0.302389049,1.75,2.25,2.375,0.833333333,8,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1.348,31.519
sample_255,10.23715278,-0.327546296,10.23715278,0.224537037,0.446385432,116.16,104.064,116.0837296,48,0.302646116,-0.46015067,0.46015067,0.302646116,1.375,1.75,1.75,0.833333333,8,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1.348,31.519
sample_256,10.52060185,-0.118055556,10.52060185,0.009212963,0.506664867,116.16,104.064,116.0837296,48,0.307851069,-0.465780805,0.465780805,0.307851069,1.625,2.125,2.25,0.833333333,8,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1.2055,31.471
sample_257,10.34847222,-0.104768519,10.34847222,0.104768519,0.520098668,116.16,104.064,116.0837296,48,0.304996239,-0.465693581,0.465693581,0.304996239,1.5,2.125,2.5,0.833333333,8,0,2,0,0,0,0,0,0,2,0,2,3,0,0,0,0,1.3496,31.541
sample_258,5.073888889,0.861111111,5.073888889,0.861111111,0.491869888,102.177,88.065,102.1044651,44,0.046529105,-0.381739325,0.381739325,0.046529105,1.285714286,2,2.428571429,1,7,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,1.823,31.401
sample_259,8.526018519,0.354166667,8.526018519,0.354166667,0.570967752,102.177,88.065,102.1044651,44,0.045856075,-0.396088535,0.396088535,0.045856075,1.285714286,1.714285714,1.714285714,1,7,1,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1.4149,31.1578
sample_260,8.292882653,0.361111111,8.292882653,0.361111111,0.533927882,102.177,88.065,102.1044651,44,0.043052406,-0.396376569,0.396376569,0.043052406,1.142857143,1.857142857,2.285714286,1,7,1,1,0,0,0,0,0,0,1,1,1,4,0,0,0,0,1.559,31.2278
sample_261,8.683472222,-0.097268519,8.683472222,0.097268519,0.572966484,102.177,88.065,102.1044651,44,0.051166509,-0.39341927,0.39341927,0.051166509,1.571428571,2.142857143,2.285714286,1,7,1,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1.5574,31.2058
sample_262,8.46587963,0.341111111,8.46587963,0.341111111,0.570967752,102.177,88.065,102.1044651,44,0.045612317,-0.396099013,0.396099013,0.045612317,1.571428571,2.142857143,2.285714286,1,7,1,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1.4149,31.1578
sample_263,8.722777778,-0.125,8.722777778,0.125,0.558630557,102.177,88.065,102.1044651,44,0.051410236,-0.393408743,0.393408743,0.051410236,1.285714286,1.714285714,1.714285714,1,7,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1.4133,31.1358
sample_264,5.086805556,0.083333333,5.086805556,0.083333333,0.516454974,102.177,88.065,102.1044651,44,0.061968292,-0.378826817,0.378826817,0.061968292,1.428571429,1.857142857,1.857142857,1,7,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1.8214,31.379
sample_265,8.303086735,0.283163265,8.303086735,0.283163265,0.516895098,118.176,104.064,118.0993797,50,0.043052419,-0.396376569,0.396376569,0.043052419,0.625,1,1.25,1,8,2,2,0,0,0,0,0,0,2,2,2,5,0,0,0,0,0.5314,32.6396
sample_266,5.269288549,0.861111111,5.269288549,0.861111111,0.533774088,101.193,86.073,101.1204495,44,-0.007727548,-0.330473504,0.330473504,0.007727548,1.142857143,1.857142857,2.285714286,1,7,2,1,0,0,0,0,0,0,1,1,1,4,0,0,0,0,1.5254,33.1964
sample_267,9.444444444,0.166666667,9.444444444,0.166666667,0.398236962,58.08,52.032,58.04186481,24,0.126267944,-0.300343903,0.300343903,0.126267944,1.5,1.5,1.5,0.666666667,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5953,16.355
sample_268,8.055555556,-0.166666667,8.055555556,0.166666667,0.428404794,60.096,52.032,60.05751488,26,0.048347612,-0.393706902,0.393706902,0.048347612,1.5,1.5,1.5,1,4,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.3871,17.3548
sample_269,4.597222222,0.725694444,4.597222222,0.725694444,0.444722907,72.107,64.043,72.05751488,30,0.084435605,-0.502106752,0.502106752,0.084435605,2,2.6,2.6,0.5,5,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1.1664,21.823
sample_270,2.125,1.138888889,2.125,1.138888889,0.401712908,66.103,60.055,66.04695019,26,-0.016293379,-0.080750362,0.080750362,0.016293379,1,1.6,1.8,0.2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.5025,22.897
sample_271,9.457457483,0.481805556,9.457457483,0.481805556,0.390089319,102.133,92.053,102.0680796,42,0.292575518,-0.467901173,0.467901173,0.292575518,1.714285714,2.428571429,2.857142857,0.8,7,0,2,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0.9595,26.924
sample_272,9.809722222,-0.712962963,9.809722222,0.275462963,0.566818917,102.133,92.053,102.0680796,42,0.30310055,-0.481223064,0.481223064,0.30310055,1.714285714,2.142857143,2.142857143,0.8,7,1,2,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1.1171,27.0908
sample_273,10.09634637,-0.181990741,10.09634637,0.181990741,0.410684113,116.16,104.064,116.0837296,48,0.302122867,-0.465877874,0.465877874,0.302122867,1.625,2.25,2.625,0.833333333,8,0,2,0,0,0,0,0,0,2,0,2,3,0,0,0,0,1.3496,31.541
sample_274,3.347222222,1.25,3.347222222,1.25,0.480091881,99.177,86.073,99.10479942,42,-0.00489195,-0.316732594,0.316732594,0.00489195,0.714285714,1.285714286,1.857142857,1,7,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1.15,31.3377
sample_275,8.756666667,0.329259259,8.756666667,0.329259259,0.535935436,108.14,100.076,108.0575149,42,0.115094489,-0.507966648,0.507966648,0.115094489,1.125,1.625,2,0.142857143,8,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1.70062,32.8438
